"","PercID","TargID","GroupID","known_either","FE_seen","FE_known","FE_verb","FE_num","FE_spat","FE_crea","FE_intra","FE_inter","FE_obs_verb","FE_obs_num","FE_obs_spat","FE_obs_crea","FE_obs_intra","FE_obs_inter","FE_humor","FE_attract","FE_symp","FE_STR","FE_LTR","FE_Match","FE_verb_acq","FE_num_acq","FE_spat_acq","FE_crea_acq","FE_intra_acq","FE_inter_acq","FE_obs_verb_acq","FE_obs_num_acq","FE_obs_spat_acq","FE_obs_crea_acq","FE_obs_intra_acq","FE_obs_inter_acq","FE_humor_acq","FE_attract_acq","FE_symp_acq","FE_STR_acq","FE_LTR_acq","FE_Match_acq"
"308","SD_1_14_W","SD_1_09_M",1,0,0,0,2,3,4,5,1,1,4,4,4,5,5,5,2,1,1,1,1,0,2,3,4,5,1,1,4,4,4,5,5,5,2,1,1,1,1,0
"309","SD_1_14_W","SD_1_10_M",1,NA,0,0,4,4,4,3,4,5,5,5,5,5,5,5,4,4,4,4,5,1,4,4,4,3,4,5,5,5,5,5,5,5,4,4,4,4,5,1
"310","SD_1_14_W","SD_1_11_M",1,0,0,0,2,3,3,4,4,2,4,4,3,4,3,3,2,1,2,1,1,0,2,3,3,4,4,2,4,4,3,4,3,3,2,1,2,1,1,0
"311","SD_1_14_W","SD_1_12_M",1,0,0,0,4,3,4,3,3,3,3,4,4,3,2,2,3,2,3,1,1,0,4,3,4,3,3,3,3,4,4,3,2,2,3,2,3,1,1,0
"312","SD_1_14_W","SD_1_13_M",1,0,0,0,4,2,4,4,5,5,4,3,4,4,4,4,4,4,5,4,3,1,4,2,4,4,5,5,4,3,4,4,4,4,4,4,5,4,3,1
"313","SD_2_01_M","SD_2_01_W",2,0,0,0,4,3,3,4,4,5,4,3,2,3,4,4,4,4,4,4,3,1,4,3,3,4,4,5,4,3,2,3,4,4,4,4,4,4,3,1
"314","SD_2_01_M","SD_2_02_W",2,0,0,0,4,2,NA,5,3,4,4,2,NA,4,3,4,3,3,3,3,1,1,4,2,NA,5,3,4,4,2,NA,4,3,4,3,3,3,3,1,1
"315","SD_2_01_M","SD_2_03_W",2,0,0,0,4,1,1,4,3,4,4,2,3,2,1,4,2,3,3,3,1,1,4,1,1,4,3,4,4,2,3,2,1,4,2,3,3,3,1,1
"316","SD_2_01_M","SD_2_04_W",2,0,0,0,5,2,2,4,2,2,5,4,4,2,3,3,3,3,3,2,1,0,5,2,2,4,2,2,5,4,4,2,3,3,3,3,3,2,1,0
"317","SD_2_01_M","SD_2_05_W",2,NA,0,0,3,2,3,4,4,4,5,2,3,3,4,3,4,4,3,3,2,1,3,2,3,4,4,4,5,2,3,3,4,3,4,4,3,3,2,1
"318","SD_2_01_M","SD_2_06_W",2,0,0,0,3,2,2,3,4,4,3,3,3,2,3,4,3,3,3,3,2,1,3,2,2,3,4,4,3,3,3,2,3,4,3,3,3,3,2,1
"319","SD_2_01_M","SD_2_07_W",2,0,0,0,4,4,4,3,4,5,4,3,3,2,3,4,4,4,5,5,2,1,4,4,4,3,4,5,4,3,3,2,3,4,4,4,5,5,2,1
"320","SD_2_01_M","SD_2_08_W",2,0,0,0,4,3,2,3,4,3,3,3,2,2,2,2,2,2,4,2,1,0,4,3,2,3,4,3,3,3,2,2,2,2,2,2,4,2,1,0
"321","SD_2_01_M","SD_2_09_W",2,0,0,0,4,4,3,3,5,3,2,2,2,3,4,3,4,4,3,4,2,1,4,4,3,3,5,3,2,2,2,3,4,3,4,4,3,4,2,1
"322","SD_2_01_M","SD_2_10_W",2,0,0,0,4,3,2,3,4,4,3,2,2,3,4,4,4,4,4,4,2,1,4,3,2,3,4,4,3,2,2,3,4,4,4,4,4,4,2,1
"323","SD_2_01_M","SD_2_11_W",2,0,0,0,3,1,1,3,2,3,4,4,4,2,2,3,2,3,3,4,1,1,3,1,1,3,2,3,4,4,4,2,2,3,2,3,3,4,1,1
"324","SD_2_01_M","SD_2_12_W",2,0,0,0,4,4,4,5,3,5,3,3,3,2,2,3,5,4,5,4,3,1,4,4,4,5,3,5,3,3,3,2,2,3,5,4,5,4,3,1
"325","SD_2_01_W","SD_2_01_M",2,0,0,0,4,5,5,2,3,3,3,5,5,5,2,3,4,2,4,1,2,0,4,5,5,2,3,3,3,5,5,5,2,3,4,2,4,1,2,0
"326","SD_2_01_W","SD_2_02_M",2,0,0,0,3,4,4,3,4,5,4,3,4,4,4,5,2,3,3,1,3,0,3,4,4,3,4,5,4,3,4,4,4,5,2,3,3,1,3,0
"327","SD_2_01_W","SD_2_03_M",2,0,0,0,4,4,5,3,2,2,3,4,5,3,3,5,2,2,3,1,1,0,4,4,5,3,2,2,3,4,5,3,3,5,2,2,3,1,1,0
"328","SD_2_01_W","SD_2_04_M",2,NA,0,0,4,4,3,4,3,5,3,3,3,4,2,5,2,2,4,1,2,0,4,4,3,4,3,5,3,3,3,4,2,5,2,2,4,1,2,0
"329","SD_2_01_W","SD_2_05_M",2,0,0,0,5,3,3,4,3,2,5,4,4,5,3,4,2,2,4,1,2,0,5,3,3,4,3,2,5,4,4,5,3,4,2,2,4,1,2,0
"330","SD_2_01_W","SD_2_06_M",2,0,0,0,4,5,5,3,4,4,2,4,4,3,2,3,3,2,3,1,2,0,4,5,5,3,4,4,2,4,4,3,2,3,3,2,3,1,2,0
"331","SD_2_01_W","SD_2_07_M",2,0,0,0,4,4,3,3,4,5,5,3,3,4,4,5,4,3,5,1,1,0,4,4,3,3,4,5,5,3,3,4,4,5,4,3,5,1,1,0
"332","SD_2_01_W","SD_2_08_M",2,0,0,0,3,3,4,2,4,3,3,3,3,4,4,4,3,2,4,1,1,0,3,3,4,2,4,3,3,3,3,4,4,4,3,2,4,1,1,0
"333","SD_2_01_W","SD_2_09_M",2,0,0,0,4,3,3,3,4,5,5,3,3,3,4,5,4,3,4,1,2,1,4,3,3,3,4,5,5,3,3,3,4,5,4,3,4,1,2,1
"334","SD_2_01_W","SD_2_10_M",2,0,0,0,4,5,3,4,3,4,4,5,4,3,2,4,4,4,4,1,3,1,4,5,3,4,3,4,4,5,4,3,2,4,4,4,4,1,3,1
"335","SD_2_01_W","SD_2_11_M",2,0,0,0,4,4,3,2,4,4,4,3,2,3,4,4,3,2,4,1,1,0,4,4,3,2,4,4,4,3,2,3,4,4,3,2,4,1,1,0
"336","SD_2_01_W","SD_2_12_M",2,0,0,0,4,4,3,3,3,4,4,4,3,2,2,3,3,3,3,1,3,0,4,4,3,3,3,4,4,4,3,2,2,3,3,3,3,1,3,0
"337","SD_2_01_W","SD_2_13_M",2,0,0,0,3,3,4,2,2,2,2,1,4,4,1,4,2,3,3,1,2,0,3,3,4,2,2,2,2,1,4,4,1,4,2,3,3,1,2,0
"338","SD_2_02_M","SD_2_01_W",2,0,0,0,4,3,4,2,3,4,2,3,2,1,3,5,3,3,4,4,2,1,4,3,4,2,3,4,2,3,2,1,3,5,3,3,4,4,2,1
"339","SD_2_02_M","SD_2_02_W",2,0,0,0,4,3,3,5,4,5,2,2,2,4,3,4,4,5,5,5,5,1,4,3,3,5,4,5,2,2,2,4,3,4,4,5,5,5,5,1
"340","SD_2_02_M","SD_2_03_W",2,0,0,0,4,3,4,3,4,5,2,4,2,3,4,3,5,5,5,5,5,1,4,3,4,3,4,5,2,4,2,3,4,3,5,5,5,5,5,1
"341","SD_2_02_M","SD_2_04_W",2,0,0,0,2,3,4,2,3,2,1,3,2,4,3,4,4,3,5,3,1,1,2,3,4,2,3,2,1,3,2,4,3,4,4,3,5,3,1,1
"342","SD_2_02_M","SD_2_05_W",2,NA,NA,NA,4,3,4,5,2,3,2,3,1,3,NA,2,5,3,5,4,2,1,4,3,4,5,2,3,2,3,1,3,NA,2,5,3,5,4,2,1
"343","SD_2_02_M","SD_2_06_W",2,0,0,0,4,5,4,3,4,5,2,3,2,2,2,3,5,5,5,5,5,1,4,5,4,3,4,5,2,3,2,2,2,3,5,5,5,5,5,1
"344","SD_2_02_M","SD_2_07_W",2,0,0,0,4,3,5,4,4,5,2,3,2,2,3,4,4,4,4,4,4,1,4,3,5,4,4,5,2,3,2,2,3,4,4,4,4,4,4,1
"345","SD_2_02_M","SD_2_08_W",2,0,0,0,3,4,2,3,3,5,2,2,3,2,3,5,4,2,5,1,1,0,3,4,2,3,3,5,2,2,3,2,3,5,4,2,5,1,1,0
"346","SD_2_02_M","SD_2_09_W",2,0,0,0,4,3,4,5,4,5,2,4,3,4,3,5,4,4,5,4,4,1,4,3,4,5,4,5,2,4,3,4,3,5,4,4,5,4,4,1
"347","SD_2_02_M","SD_2_10_W",2,0,0,0,4,3,4,4,3,5,3,2,1,2,3,5,4,4,5,4,4,1,4,3,4,4,3,5,3,2,1,2,3,5,4,4,5,4,4,1
"348","SD_2_02_M","SD_2_11_W",2,0,0,0,4,3,4,5,4,5,2,3,2,3,2,5,3,5,4,5,5,1,4,3,4,5,4,5,2,3,2,3,2,5,3,5,4,5,5,1
"349","SD_2_02_M","SD_2_12_W",2,0,0,0,5,4,4,3,4,5,3,2,2,3,2,5,5,5,5,5,5,1,5,4,4,3,4,5,3,2,2,3,2,5,5,5,5,5,5,1
"350","SD_2_02_W","SD_2_01_M",2,0,0,0,3,5,3,4,3,3,4,5,4,5,2,1,3,2,5,1,1,0,3,5,3,4,3,3,4,5,4,5,2,1,3,2,5,1,1,0
"351","SD_2_02_W","SD_2_02_M",2,0,0,0,5,4,4,5,3,4,4,4,3,5,4,5,4,4,5,4,3,1,5,4,4,5,3,4,4,4,3,5,4,5,4,4,5,4,3,1
"352","SD_2_02_W","SD_2_03_M",2,0,0,0,4,4,4,2,4,5,2,2,2,2,2,4,4,1,5,1,1,0,4,4,4,2,4,5,2,2,2,2,2,4,4,1,5,1,1,0
"353","SD_2_02_W","SD_2_04_M",2,0,0,0,3,3,3,4,3,2,3,3,3,4,1,4,2,1,2,1,1,0,3,3,3,4,3,2,3,3,3,4,1,4,2,1,2,1,1,0
"354","SD_2_02_W","SD_2_05_M",2,0,0,0,4,3,3,5,4,4,4,3,3,4,4,4,4,2,5,1,1,0,4,3,3,5,4,4,4,3,3,4,4,4,4,2,5,1,1,0
"355","SD_2_02_W","SD_2_06_M",2,0,0,0,4,5,4,3,3,4,4,5,3,2,1,4,3,4,5,1,4,1,4,5,4,3,3,4,4,5,3,2,1,4,3,4,5,1,4,1
"356","SD_2_02_W","SD_2_07_M",2,0,0,0,4,2,3,5,5,4,2,3,4,5,4,4,4,2,5,1,1,0,4,2,3,5,5,4,2,3,4,5,4,4,4,2,5,1,1,0
"357","SD_2_02_W","SD_2_08_M",2,NA,NA,NA,3,2,2,2,4,5,3,4,4,4,3,5,4,5,5,1,1,0,3,2,2,2,4,5,3,4,4,4,3,5,4,5,5,1,1,0
"358","SD_2_02_W","SD_2_09_M",2,0,0,0,4,4,3,2,4,4,4,3,3,3,4,3,3,2,5,1,1,NA,4,4,3,2,4,4,4,3,3,3,4,3,3,2,5,1,1,NA
"359","SD_2_02_W","SD_2_10_M",2,0,0,0,4,5,4,2,3,4,4,5,5,4,4,4,3,4,4,1,1,0,4,5,4,2,3,4,4,5,5,4,4,4,3,4,4,1,1,0
"360","SD_2_02_W","SD_2_11_M",2,0,0,0,4,4,4,2,4,4,4,4,4,3,4,5,5,3,4,1,4,0,4,4,4,2,4,4,4,4,4,3,4,5,5,3,4,1,4,0
"361","SD_2_02_W","SD_2_12_M",2,0,0,0,4,4,3,3,2,3,4,4,2,2,2,4,2,1,4,1,1,0,4,4,3,3,2,3,4,4,2,2,2,4,2,1,4,1,1,0
"362","SD_2_02_W","SD_2_13_M",2,0,0,0,3,2,2,2,2,2,4,3,3,4,4,5,3,1,4,1,1,0,3,2,2,2,2,2,4,3,3,4,4,5,3,1,4,1,1,0
"363","SD_2_03_M","SD_2_01_W",2,0,0,0,5,4,4,4,4,4,4,3,2,3,4,4,3,3,4,4,2,0,5,4,4,4,4,4,4,3,2,3,4,4,3,3,4,4,2,0
